Date,Open,High,Low,Close,Volume,Change
2020-05-04,198500,203000,193500,199000,1104027,0.0075949367088608
2020-05-06,201500,212500,200499,212000,992225,0.0653266331658291
2020-05-07,211499,220000,210500,215500,984024,0.01650943396226423
2020-05-08,216000,218499,212000,214000,732394,-0.00696055684454755
2020-05-11,214500,221000,214000,214500,599328,0.002336448598130758
2020-05-12,218000,226500,214999,219500,1056584,0.02331002331002341
2020-05-13,217500,222500,213500,218500,1014692,-0.004555808656036442
2020-05-14,214500,222000,214500,219000,866427,0.0022883295194509046
2020-05-15,219000,219500,209500,213000,1050469,-0.0273972602739726
2020-05-18,215000,218000,211500,215000,638906,0.009389671361502261
2020-05-19,215000,216500,210500,213500,917603,-0.006976744186046546
2020-05-20,215500,225500,215000,222000,977544,0.03981264637002346
2020-05-21,227500,233500,222500,225000,1004395,0.013513513513513598
2020-05-22,227000,232500,222500,230500,1108281,0.02444444444444449
2020-05-25,234500,241000,234000,241000,1015069,0.045553145336225676
2020-05-26,244000,246000,230000,239000,1568016,-0.008298755186721962
2020-05-27,231000,234500,226500,228500,1351505,-0.043933054393305415
2020-05-28,226000,241000,222000,240500,1625154,0.052516411378555894
2020-05-29,240000,243000,226000,226000,3114298,-0.06029106029106024
2020-06-01,233500,237000,229999,237000,1140644,0.04867256637168138
2020-06-02,235000,236000,232000,234000,689584,-0.012658227848101222
2020-06-03,235000,235500,225000,225500,1476614,-0.03632478632478631
2020-06-04,228000,235000,227000,232500,1052789,0.03104212860310418
2020-06-05,229000,231000,225000,231000,1061922,-0.006451612903225823
2020-06-08,234500,242000,230999,240500,1624752,0.04112554112554112
2020-06-09,240000,243000,235500,237500,934440,-0.012474012474012475
2020-06-10,241000,247500,240000,244000,1431071,0.027368421052631486
2020-06-11,244000,249000,239000,240500,1423978,-0.014344262295082011
2020-06-12,229000,242500,228500,242000,1318334,0.006237006237006293
2020-06-15,240000,244500,230500,231500,1311773,-0.04338842975206614
2020-06-16,239000,243500,236000,243500,1155474,0.05183585313174954
2020-06-17,244000,252000,243500,251000,1357900,0.030800821355236208
2020-06-18,251500,254000,247000,247500,744330,-0.013944223107569709
2020-06-19,249999,249999,244000,249500,919945,0.008080808080808133
2020-06-22,249500,271500,247500,270000,1841479,0.0821643286573146
2020-06-23,272000,289000,270500,276000,2104075,0.022222222222222143
2020-06-24,273500,279500,270500,279000,995065,0.010869565217391353
2020-06-25,273500,276500,269500,269500,1196267,-0.03405017921146958
2020-06-26,274500,275000,263000,269000,937593,-0.0018552875695733162
2020-06-29,265000,270500,261000,264000,814814,-0.018587360594795488
2020-06-30,268000,270500,263000,267000,862860,0.011363636363636465
2020-07-01,270000,275000,266000,269000,655711,0.0074906367041198685
2020-07-02,274000,277000,271000,277000,1015829,0.029739776951672958
2020-07-03,276500,280500,274500,277500,971940,0.0018050541516245744
2020-07-06,278000,287500,278000,281500,1211636,0.01441441441441449
2020-07-07,285000,289500,279000,279500,1365047,-0.007104795737122527
2020-07-08,280000,284500,274000,282500,1353345,0.01073345259391778
2020-07-09,286500,296500,284500,287500,2006662,0.017699115044247815
2020-07-10,291500,308500,290000,299000,2120904,0.040000000000000036
2020-07-13,303500,303500,288000,297000,1254800,-0.006688963210702337
2020-07-14,290000,291000,285000,287000,1360849,-0.03367003367003363
2020-07-15,290500,293000,280500,286500,1276196,-0.0017421602787456303
2020-07-16,283000,285000,272000,273000,1338814,-0.04712041884816753
2020-07-17,270000,279500,266000,276000,926932,0.01098901098901095
2020-07-20,276500,278000,260500,263000,1556415,-0.047101449275362306
